aTitle,Artist,Genres
Dance Monkey,Tones and I,['pop']
ROXANNE,Arizona Zervas,"['pop','rap']"
Tusa,KAROL G,"['latin','trap']"
Circles,Post Malone,['rap']
Memories,Maroon 5,"['pop','rock']"
Falling,Trevor Daniel,"['rap' , 'pop', 'r&b']"
Don't Start Now,Dua Lipa,"['pop', 'dance']"
RITMO (Bad Boys For Life),Black Eyed Peas,"['pop','dance']"
Señorita,Shawn Mendes,"['pop' , 'dance']"
Blinding Lights,The Weeknd,"['pop','r&b']"
bad guy,Billie Eilish,"['pop', 'electropop']"
everything I wanted,Billie Eilish,"['pop', 'electropop']"
Adore You,Harry Styles,['pop']
Lose You To Love Me,Selena Gomez,"['pop' , 'dance']"
Watermelon Sugar,Harry Styles,['pop']
Old Town Road - Remix,Lil Nas X,"['lgbtq','hip pop','rap','pop']"
Sucker,Jonas Brothers,"['pop','boy band','dance', 'pop']"
Psycho,Red Velvet,"['kpop','girl band']"
Bohemian Rhapsody,Queen,"['rock','classic']"
Believer,Imagine Dragons,"['modern','rock', 'pop']"